"Ausgangsjahr","Gesetz_Nummer","Gesetz_Abk","Reihenfolge_Titel","Titel","Reihenfolge_Haupttitel","Haupttitel","Artikel","Tatbestand","Straftaten_total","Straftaten_vollendet","Straftaten_versucht","Einwohner","Häufigkeitszahl"
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,111-113/116,Tötungsdelikte,43,9,34,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,114,Tötung auf Verlangen,0,0,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,115,Verleitung und Beihilfe zum Selbstmord,0,0,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,117,Fahrlässige Tötung,5,5,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,118,Strafbarer Schwangerschaftsabbruch,2,2,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,120,Übertretungen durch Ärztinnen und Ärzte,0,0,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,122,Schwere Körperverletzung,227,215,12,1348094,0.2
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,123,Einfache Körperverletzung,1804,1778,26,1348094,1.3
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,125,Fahrlässige Körperverletzung,137,137,0,1348094,0.1
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,126,Tätlichkeiten,2931,2931,0,1348094,2.2
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,127,Aussetzung,2,2,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,128,Unterlassung der Nothilfe,18,18,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,128bis,Falscher Alarm,10,10,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,129,Gefährdung des Lebens,139,139,0,1348094,0.1
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,133,Raufhandel,261,261,0,1348094,0.2
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,134,Angriff,691,691,0,1348094,0.5
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,135,Gewaltdarstellungen,22,22,0,1348094,0
2009,311.0,StGB,1,Total gegen Leib und Leben,1,Total gegen Leib und Leben,136,Verabreichen gesundheitsgefährdender Stoffe an Kinder,14,14,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,137,Unrechtmässige Aneignung inkl. geringfügig,938,938,0,1348094,0.7
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,138,Veruntreuung inkl. geringfügig,595,592,3,1348094,0.4
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Diebstahl inkl. geringfügig,12657,12599,58,1348094,9.4
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Einbruchdiebstahl,12364,8072,4292,1348094,9.2
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Einschleichdiebstahl,2622,2516,106,1348094,1.9
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Entreissdiebstahl,255,243,12,1348094,0.2
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Ladendiebstahl inkl. geringfügig,2788,2760,28,1348094,2.1
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Taschendiebstahl,4080,4053,27,1348094,3
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Trickdiebstahl,840,815,25,1348094,0.6
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Hausgenossendiebstahl inkl. geringfügig,38,38,0,1348094,0
2009,311.0,StGB,2,Total gegen das Vermögen,2,Total gegen das Vermögen,139,Fahrzeugeinbruchdiebstahl inkl. geringfügig,4106,3273,833,1348094,3
