"Ausgangsjahr","Gesetz_Nummer","Gesetz_Abk","Reihenfolge_Haupttitel","Haupttitel","Total","Total_natuerliche_Personen","Minderjährige_Total","Minderjaehrige_M","Minderjaehrige_W","Minderjaehrige_o_A","Erwachsene_Total","Erwachsene_M","Erwachsene_W","Erwachsene_o_A","ohne_Alter_Total","ohne_Alter_M","ohne_Alter_W","ohne_Alter_o_A","Total_juristische_Personen"
2009,311.0,StGB,0,Total StGB,17882,17880,3362,2550,812,0,14475,11127,3347,1,43,32,10,1,2
2009,311.0,StGB,1,Total gegen Leib und Leben,4788,4788,690,588,102,0,4095,3303,792,0,3,3,0,0,0
2009,311.0,StGB,2,Total gegen das Vermögen,9325,9323,2343,1776,567,0,6948,5255,1692,1,32,21,10,1,2
2009,311.0,StGB,3,Total gegen die Freiheit,4286,4286,806,685,121,0,3474,2997,477,0,6,4,2,0,0
2009,311.0,StGB,4,Total gegen sexuelle Integrität,1049,1049,116,113,3,0,931,648,283,0,2,2,0,0,0
2009,311.0,StGB,5,Total übrige Titel StGB,4350,4350,537,376,161,0,3806,3006,800,0,7,4,3,0,0
2010,311.0,StGB,0,Total StGB,17219,17218,2927,2131,796,0,14223,10731,3491,1,68,54,14,0,1
2010,311.0,StGB,1,Total gegen Leib und Leben,4296,4296,658,539,119,0,3636,2931,705,0,2,2,0,0,0
2010,311.0,StGB,2,Total gegen das Vermögen,9011,9010,2014,1451,563,0,6934,5182,1751,1,62,48,14,0,1
2010,311.0,StGB,3,Total gegen die Freiheit,3940,3940,651,563,88,0,3285,2809,476,0,4,1,3,0,0
2010,311.0,StGB,4,Total gegen sexuelle Integrität,1014,1014,61,59,2,0,953,561,392,0,0,0,0,0,0
2010,311.0,StGB,5,Total übrige Titel StGB,4591,4591,514,355,159,0,4048,3175,872,1,29,26,3,0,0
2011,311.0,StGB,0,Total StGB,16320,16222,2148,1552,596,0,14009,10709,3288,12,65,52,9,4,98
2011,311.0,StGB,1,Total gegen Leib und Leben,3812,3812,475,401,74,0,3334,2718,616,0,3,3,0,0,0
2011,311.0,StGB,2,Total gegen das Vermögen,8416,8327,1404,983,421,0,6871,5246,1613,12,52,39,9,4,89
2011,311.0,StGB,3,Total gegen die Freiheit,3688,3685,388,324,64,0,3283,2810,473,0,14,12,2,0,3
2011,311.0,StGB,4,Total gegen sexuelle Integrität,1011,1011,83,76,7,0,925,549,376,0,3,2,0,1,0
2011,311.0,StGB,5,Total übrige Titel StGB,4552,4516,389,272,117,0,4116,3197,919,0,11,9,2,0,36
2012,311.0,StGB,0,Total StGB,16660,16565,1882,1424,458,0,14635,11199,3435,1,48,36,10,2,95
2012,311.0,StGB,1,Total gegen Leib und Leben,3674,3674,394,341,53,0,3277,2691,586,0,3,2,1,0,0
2012,311.0,StGB,2,Total gegen das Vermögen,8894,8806,1304,966,338,0,7462,5624,1837,1,40,31,7,2,88
2012,311.0,StGB,3,Total gegen die Freiheit,4102,4101,377,314,63,0,3717,3180,536,1,7,4,3,0,1
2012,311.0,StGB,4,Total gegen sexuelle Integrität,1120,1120,85,80,5,0,1034,650,384,0,1,0,1,0,0
2012,311.0,StGB,5,Total übrige Titel StGB,4457,4440,317,230,87,0,4117,3223,894,0,6,6,0,0,17
2013,311.0,StGB,0,Total StGB,16671,16571,1754,1335,419,0,14755,11126,3625,4,62,48,8,6,100
2013,311.0,StGB,1,Total gegen Leib und Leben,3836,3836,378,325,53,0,3458,2820,638,0,0,0,0,0,0
2013,311.0,StGB,2,Total gegen das Vermögen,8408,8314,1090,822,268,0,7168,5393,1771,4,56,44,6,6,94
2013,311.0,StGB,3,Total gegen die Freiheit,3811,3811,380,321,59,0,3429,2904,525,0,2,1,1,0,0
2013,311.0,StGB,4,Total gegen sexuelle Integrität,1501,1501,148,118,30,0,1353,828,525,0,0,0,0,0,0
2013,311.0,StGB,5,Total übrige Titel StGB,4594,4574,350,251,99,0,4213,3210,1003,0,11,10,1,0,20
2014,311.0,StGB,0,Total StGB,15856,15764,1861,1398,463,0,13872,10463,3408,1,31,26,5,0,92
2014,311.0,StGB,1,Total gegen Leib und Leben,3551,3551,356,299,57,0,3194,2583,611,0,1,1,0,0,0
2014,311.0,StGB,2,Total gegen das Vermögen,8294,8218,1267,952,315,0,6926,5158,1768,0,25,22,3,0,76
2014,311.0,StGB,3,Total gegen die Freiheit,3714,3714,432,352,80,0,3279,2748,530,1,3,3,0,0,0
2014,311.0,StGB,4,Total gegen sexuelle Integrität,1140,1140,115,100,15,0,1023,678,345,0,2,2,0,0,0
2014,311.0,StGB,5,Total übrige Titel StGB,4711,4689,342,237,105,0,4339,3350,989,0,8,6,2,0,22
2015,311.0,StGB,0,Total StGB,15562,15441,1686,1255,431,0,13730,10130,3598,2,25,19,6,0,121
2015,311.0,StGB,1,Total gegen Leib und Leben,3379,3379,320,281,39,0,3059,2457,602,0,0,0,0,0,0
2015,311.0,StGB,2,Total gegen das Vermögen,7810,7702,1096,800,296,0,6591,4745,1844,2,15,14,1,0,108
2015,311.0,StGB,3,Total gegen die Freiheit,3513,3513,344,290,54,0,3166,2606,560,0,3,3,0,0,0
2015,311.0,StGB,4,Total gegen sexuelle Integrität,1185,1185,87,77,10,0,1097,676,421,0,1,1,0,0,0
2015,311.0,StGB,5,Total übrige Titel StGB,4949,4916,411,286,125,0,4495,3442,1053,0,10,5,5,0,33
2016,311.0,StGB,0,Total StGB,16268,16145,1667,1276,391,0,14434,10633,3801,0,44,38,6,0,123
2016,311.0,StGB,1,Total gegen Leib und Leben,3862,3862,335,291,44,0,3527,2794,733,0,0,0,0,0,0
2016,311.0,StGB,2,Total gegen das Vermögen,8279,8170,1127,845,282,0,7011,5105,1906,0,32,28,4,0,109
2016,311.0,StGB,3,Total gegen die Freiheit,3654,3653,366,312,54,0,3277,2699,578,0,10,8,2,0,1
2016,311.0,StGB,4,Total gegen sexuelle Integrität,1262,1262,100,91,9,0,1161,720,441,0,1,1,0,0,0
